birth_k,birth_residue,parent_residue,new_prime,new_prime_remainder,prefinal_gap_count,prefinal_gap_endpoints,prefinal_gap_width,new_arc_width,aperture_margin,containment_margin
7,313221,12921,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,314818,14518,17,12,1,7/10-19/26,2/65,1/17,31/1105,1/221
7,315099,14799,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,316281,15981,17,13,1,3/4-17/22,1/44,1/17,27/748,1/68
7,316791,16491,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,316911,16611,17,14,1,21/26-5/6,1/39,1/17,22/663,3/221
7,317649,17349,17,4,1,5/22-1/4,1/44,1/17,27/748,1/68
7,317684,17384,17,5,1,7/26-7/22,7/143,1/17,24/2431,1/221
7,318574,18274,17,11,1,9/14-17/26,1/91,1/17,74/1547,5/221
7,318669,18369,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,318740,18440,17,7,1,9/22-11/26,2/143,1/17,109/2431,4/221
7,319569,19269,17,3,1,1/6-5/26,1/39,1/17,22/663,3/221
7,320361,20061,17,13,1,17/22-11/14,1/77,1/17,60/1309,1/119
7,321448,21148,17,12,1,7/10-19/26,2/65,1/17,31/1105,1/221
7,321662,21362,17,5,1,7/26-3/10,2/65,1/17,31/1105,1/221
7,321891,21591,17,13,1,3/4-17/22,1/44,1/17,27/748,1/68
7,322239,21939,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,323259,22959,17,4,1,5/22-1/4,1/44,1/17,27/748,1/68
7,326199,25899,17,3,1,1/6-5/26,1/39,1/17,22/663,3/221
7,326344,26044,17,12,1,15/22-7/10,1/55,1/17,38/935,1/187
7,327501,27201,17,13,1,3/4-17/22,1/44,1/17,27/748,1/68
7,328078,27778,17,12,1,7/10-19/26,2/65,1/17,31/1105,1/221
7,328292,27992,17,5,1,7/26-3/10,2/65,1/17,31/1105,1/221
7,329379,29079,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,330171,29871,17,14,1,21/26-5/6,1/39,1/17,22/663,3/221
7,331071,741,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,331166,836,17,6,1,9/26-5/14,1/91,1/17,74/1547,5/221
7,332949,2619,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,333111,2781,17,13,1,3/4-17/22,1/44,1/17,27/748,1/68
7,334479,4149,17,4,1,5/22-1/4,1/44,1/17,27/748,1/68
7,334641,4311,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,334708,4378,17,12,1,7/10-19/26,2/65,1/17,31/1105,1/221
7,334922,4592,17,5,1,7/26-3/10,2/65,1/17,31/1105,1/221
7,336519,6189,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,336801,6471,17,14,1,21/26-5/6,1/39,1/17,22/663,3/221
