source,n,next_n,a_n,a_next,abs_delta_a,component_count_n,component_count_next,abs_delta_component_count,max_gap_n,max_gap_next,abs_delta_max_gap,c0_n,c0_next
data/summaries/prc_v0_covering_candidate_windows.csv,372731,372732,0.08099442215391778,0.047035270469631685,0.03395915168428609,2529,1504,1025,0.0003044468074020479,0.00025361668895118594,5.083011845086194e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372732,372733,0.047035270469631685,0.07727563887738928,0.030240368407757595,1504,2602,1098,0.00025361668895118594,0.0002715890710445201,1.7972382093334183e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372733,372734,0.07727563887738928,0.07436596829938608,0.002909670578003204,2602,2616,14,0.0002715890710445201,0.00024359473037638413,2.7994340668135997e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372734,372735,0.07436596829938608,0.038878291370590096,0.03548767692879598,2616,1362,1254,0.00024359473037638413,0.0002066079592916159,3.698677108476822e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372735,372736,0.038878291370590096,0.030255865630868906,0.00862242573972119,1362,869,493,0.0002066079592916159,0.000172407199018898,3.42007602727179e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372736,372737,0.030255865630868906,0.06057957302753614,0.030323707396667232,869,1735,866,0.000172407199018898,0.0002545193815374214,8.211218251852337e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372737,372738,0.06057957302753614,0.06071390009605665,0.00013432706852051224,1735,1927,192,0.0002545193815374214,0.0002356854910005035,1.8833890536917863e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372738,372739,0.06071390009605665,0.06937655984761718,0.008662659751560525,1927,2253,326,0.0002356854910005035,0.00025329595280021433,1.761046179971082e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372739,372740,0.06937655984761718,0.023155050981244485,0.04622150886637269,2253,848,1405,0.00025329595280021433,0.00017972623807677168,7.356971472344265e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372740,372741,0.023155050981244485,0.019664875806782667,0.003490175174461818,848,498,350,0.00017972623807677168,0.0002505452301186928,7.08189920419211e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372741,372742,0.019664875806782667,0.0400895708529595,0.020424695046176833,498,1140,642,0.0002505452301186928,0.0002410207699188316,9.524460199861196e-06,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372742,372743,0.0400895708529595,0.045686437569176744,0.005596866716217244,1140,1579,439,0.0002410207699188316,0.00024214663030763806,1.1258603888064656e-06,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372743,372744,0.045686437569176744,0.0831999493766774,0.03751351180750066,1579,2646,1067,0.00024214663030763806,0.00025063688648035987,8.49025617272181e-06,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372744,372745,0.0831999493766774,0.050786784299897705,0.0324131650767797,2646,1349,1297,0.00025063688648035987,0.00025054800032231483,8.888615804503175e-08,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372745,372746,0.050786784299897705,0.0,0.050786784299897705,1349,0,1349,0.00025054800032231483,0.0,0.00025054800032231483,False,True
data/summaries/prc_v0_covering_candidate_windows.csv,372746,372747,0.0,0.032965458011430526,0.032965458011430526,0,1116,1116,0.0,0.00024211179505695402,0.00024211179505695402,True,False
data/summaries/prc_v0_covering_candidate_windows.csv,372747,372748,0.032965458011430526,0.0,0.032965458011430526,1116,0,1116,0.00024211179505695402,0.0,0.00024211179505695402,False,True
