seed_n,cohort_role,n,control_delta,checked_max_k,checked_max_prime,residue_modulus,residue,mod210,mod2310,nearest_covered_residue,nearest_covered_source_k,nearest_covered_source_prime,circular_residue_distance,normalized_residue_distance
18748,local_any_control,18747,-1,8,19,9699690,18747,57,267,18789,7,17,42,4.3300352897876115e-06
18808,complete_uncertified,18808,0,8,19,9699690,18808,118,328,18789,7,17,19,1.958825488237253e-06
18808,local_mod210_control,19018,210,8,19,9699690,19018,118,538,19022,5,11,4,4.123843133131059e-07
18808,local_any_control,18807,-1,8,19,9699690,18807,117,327,18789,7,17,18,1.8557294099089764e-06
18872,complete_uncertified,18872,0,8,19,9699690,18872,182,392,18898,4,7,26,2.680498036535188e-06
18872,local_mod210_control,18662,-210,8,19,9699690,18662,182,182,18688,4,7,26,2.680498036535188e-06
18872,local_any_control,18871,-1,8,19,9699690,18871,181,391,18898,4,7,27,2.783594114863465e-06
19066,complete_uncertified,19066,0,8,19,9699690,19066,166,586,19108,4,7,42,4.3300352897876115e-06
19066,local_mod210_control,18856,-210,8,19,9699690,18856,166,376,18898,4,7,42,4.3300352897876115e-06
19066,local_any_control,19065,-1,8,19,9699690,19065,165,585,19022,5,11,43,4.433131368115888e-06
19198,complete_uncertified,19198,0,8,19,9699690,19198,88,718,19258,5,11,60,6.185764699696588e-06
19198,local_mod210_control,18988,-210,8,19,9699690,18988,88,508,19022,5,11,34,3.5052666631614e-06
19198,local_any_control,19197,-1,8,19,9699690,19197,87,717,19258,5,11,61,6.2888607780248645e-06
19232,complete_uncertified,19232,0,8,19,9699690,19232,122,752,19258,5,11,26,2.680498036535188e-06
19232,local_any_control,19231,-1,8,19,9699690,19231,121,751,19258,5,11,27,2.783594114863465e-06
19263,complete_uncertified,19263,0,8,19,9699690,19263,153,783,19258,5,11,5,5.154803916413823e-07
19263,local_mod210_control,19053,-210,8,19,9699690,19053,153,573,19022,5,11,31,3.1959784281765704e-06
19263,local_any_control,19262,-1,8,19,9699690,19262,152,782,19258,5,11,4,4.123843133131059e-07
19442,complete_uncertified,19442,0,8,19,9699690,19442,122,962,19528,4,7,86,8.866262736231776e-06
19442,local_mod210_control,19652,210,8,19,9699690,19652,122,1172,19659,6,13,7,7.216725482979353e-07
19442,local_any_control,19441,-1,8,19,9699690,19441,121,961,19528,4,7,87,8.969358814560053e-06
19579,complete_uncertified,19579,0,8,19,9699690,19579,49,1099,19588,5,11,9,9.278647049544882e-07
